"","X","x","y","ID","Entity","Year","Time","Age","Sex","Disposition","TotL_ft","TotL_cm","SVL_cm","Weight_lbs","Weight_kg","Easting","Northing","GeneralLocation","Method","Additional_ID","County","Designation","Observer","Sentinel","EggCount","SizeEstimate","Percent_Hidden","SnakeTemp","AirTemp","ShadeTemp","GroundTemp","PavementTemp","BurowFeature","Microhabitat","Comments","Behavior","GlobalID","Breeding","Sector_I","Sector_II","Scout_2","Scout_3","Scout_4","Scout_5","Scout_Association","Date","timestamp"
"23",160,-81.6287895313688,26.0510041035087,"BP01-23JAN20","COSWFL",2020,1101,"Adult","Male","A",10.2,310,270,31.1,14.1,436923,2881482,"W. Sentel","Scout","PYBI-69","Collier","Six L's Agricultural"," IB, IE, AlF, KF","Lulu",NA,"",NA,NA,NA,NA,NA,NA,"","agricultural retention","","Basking","{7765ACA9-9E6D-44BF-88AB-21B22C0E3285}","","North","East","","","","","direct",2020-01-23,"2020-01-23 1101"
"24",162,-81.6080337411291,26.0422895948827,"BP01-29JAN20","COSWFL",2020,1103,"Adult","Male","A",7.6,231,202,10.7,4.9,438987,2880508,"E. Sentel","Scout","","Collier","Six L's Agricultural","IB, IE, AF, AlF","Ronin",NA,"",NA,NA,NA,NA,NA,NA,"","","head deformity (L side)","","{2C504F5F-3E6D-419B-83BB-51EC94A792F6}","","North","East","","","","","indirect",2020-01-29,"2020-01-29 1103"
"25",164,-81.6083305771493,26.0406100438885,"BP01-03FEB20 ","COSWFL",2020,1047,"Adult","Male","A",8.4,255,221,15.2,6.9,438971,2880319,"E. Sentel","Scout","","Collier","Six L's Agricultural"," IB, IE, AlF","Ronin",NA,"",NA,NA,NA,NA,NA,NA,"","Agricultural retention edge","caught basking on E facing edge of agricultural retention","Basking","{A951E365-748C-484F-994C-2CE00F34DE30}","","North","East","","","","","indirect",2020-02-03,"2020-02-03 1047"
"26",165,-81.6488944170331,26.0581854022332,"BP02-03FEB20","COSWFL",2020,1406,"Adult","Female","A",14.8,450,396,114.1,51.8,434916,2882290,"O’Donnell Nursery","Scout","","Collier","Six L's Agricultural Buffer"," IB, IE, AlF","Nice",61,"",NA,NA,NA,NA,NA,NA,"","Willow Swamp","Found near large basking pad in location previously known by Jimi, Franko, Argo, and 69","Basking","{F1F149FF-752C-4640-8707-2C91FAD372C7}","YES","North","East","","","","","indirect",2020-02-03,"2020-02-03 1406"
"27",166,-81.6917655147804,26.0673118298521,"BP03-03FEB20","COSWFL",2019,1516,"Adult","Male","A",9.8,300,261,25.7,11.7,430630,2883324,"Marco Raw Water","Scout","","Collier","Development"," IB, IE, AlF ","Ca$h",NA,"",NA,NA,NA,NA,NA,NA,"","Lake edge","in water at lake edge ","Submerged","{DEE1A7CB-891F-442A-A2C5-A34148B69705}","","North","East","","","","","direct",2020-02-03,"2020-02-03 1516"
"28",170,-81.6917299517268,26.0673184557912,"BP01-10FEB20","COSWFL",2020,1516,"Adult","Female","A",14.9,453,400,129.9,58.9,430635,2883322,"Marco Raw Water","Scout","","Collier","Marco Raw Water","IB, IE, AlF, AF","Ca$h",73,"",NA,NA,NA,NA,NA,NA,"","","found basking on lake edge","Basking","{ACB7B861-E371-4ECA-8DDD-CAAF08A4F715}","YES","North","East","Dylan","","","","indirect",2020-02-10,"2020-02-10 1516"
"29",172,-81.5876109270531,26.0216447668689,"BP01-14FEB20","COSWFL",2020,1246,"Adult","Female","A",15,458,403,102.6,46.6,441028,2878211,"New Land","Scout","","Collier","Six L's Agricultural"," IB, IE, AF, AlF","Fierro",64,"",NA,NA,NA,NA,NA,NA,"","","found escaping nearby PYBI-70; mean snake","Courting/Mating","{C9FD1E46-7E08-4E00-BB35-3A58275D0029}","YES","North","East","","","","","direct",2020-02-14,"2020-02-14 1246"
"30",182,-81.6044333702045,26.0505191577471,"BP01-24FEB20","COSWFL",2020,1016,"Adult","Female","A",15.5,473,416,120.7,54.8,439418,2881417,"E. Sentel","Scout","","Collier","Six L's Agricultural","IB, IE, AlF","Donnie",NA,"",NA,NA,NA,NA,NA,NA,"","","caught in large aggregation in proximity to PYBI-45","Courting/Mating","{BA295BAD-37C4-482B-915E-AFBF5328B75D}","","North","East","","","","","direct",2020-02-24,"2020-02-24 1016"
"31",183,-81.6044172771616,26.0504998796142,"BP02-24FEB20","COSWFL",2020,1200,"Adult","Male","A",9.2,280,241,19.5,8.8,439418,2881417,"E. Sentel","Scout","","Collier","Six L's Agricultural","IB, IE, AlF","Donnie",NA,"",NA,NA,NA,NA,NA,NA,"","","caught in large aggregation in proximity to PYBI-45","Courting/Mating","{8966301A-8F21-46D9-A0F2-064CBD22A4A6}","","North","East","","","","","direct",2020-02-24,"2020-02-24 1200"
"32",184,-81.6044226419061,26.0505046987093,"BP03-24FEB20","COSWFL",2020,1016,"Adult","Male","A",8,243,212,12.5,5.65,439418,2881417,"E. Sentel","Scout","","Collier","Six L's Agricultural","IB, IE, ,AlF","Donnie",NA,"",NA,NA,NA,NA,NA,NA,"","","caught in large aggregation in proximity to PYBI-45","Courting/Mating","{B1875143-45C6-484F-AD93-98103FF12244}","","North","East","","","","","direct",2020-02-24,"2020-02-24 1016"
