"Snake_ID","season","id_season","pythons.removed","females","males","avg.total","avg.m","avg.f","ground","peak","search","sample.size","sample.size.core.A","sample.size.core.B","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","overlap","overlap_core.A","overlap_core.B","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi.corrected","min.dist.core.B.mi.corrected"
"PYBI_52","2024-2025","PYBI_52_2024-2025",1,1,0,79,0,79,6,5,"4",11,7,7,1.82,0.34,0.76,0,0,0,143,7.79,4,5.23
"PYBI_53","2018-2019","PYBI_53_2018-2019",2,1,1,24.8,17.3,32.3,13,10,"10",26,13,13,5.02,0.76,0.76,NA,NA,NA,62,13.04,5.29,5.29
"PYBI_53","2019-2020","PYBI_53_2019-2020",2,2,0,42.8,0,42.8,23,13,"7",37,14,12,5.05,0.32,0.32,0.78,0.15,0.15,177,18.13,4.94,4.63
"PYBI_53","2020-2021","PYBI_53_2020-2021",1,0,1,19.6,19.6,0,13,12,"6",26,12,10,6.58,1.47,0.44,0.59,0,0,164,15.7,4.27,2.92
"PYBI_53","2021-2022","PYBI_53_2021-2022",1,1,0,106.7,0,106.7,15,13,"7",23,11,10,7.64,0.09,0.09,0.8,0,0,153,12.42,1.4,1.52
"PYBI_53","2022-2023","PYBI_53_2022-2023",1,1,0,16.6,0,16.6,10,8,"1",17,10,7,2.19,0.34,0.27,0.16,0,0,148,11.63,3.74,3.18
"PYBI_53","2023-2024","PYBI_53_2023-2024",1,1,0,96.4,0,96.4,13,10,"6",18,8,10,2.97,0.06,0.08,0.67,0.01,0.05,126,6.96,0.95,1.15
"PYBI_53","2024-2025","PYBI_53_2024-2025",3,3,0,92.06,0,92.06,12,10,"10",14,10,9,2.52,1.44,1.43,0.57,0,0,135,7.16,3.67,3.57
"PYBI_54","2018-2019","PYBI_54_2018-2019",2,1,1,63.8,14.1,113.5,15,10,"10",33,14,15,7.65,0.15,0.15,NA,NA,NA,83,11.52,1.53,1.56
"PYBI_54","2019-2020","PYBI_54_2019-2020",0,0,0,0,0,0,4,2,"",9,2,1,0.4,NA,NA,0,NA,NA,91,3.03,0.21,0
"PYBI_58","2018-2019","PYBI_58_2018-2019",0,0,0,0,0,0,2,1,"0",16,0,1,0.19,NA,NA,NA,NA,NA,NA,2.48,0,0
"PYBI_58","2019-2020","PYBI_58_2019-2020",4,2,2,62.73,21.9,103.55,23,19,"13",38,16,14,2.09,0.23,0.1,0.97,NA,NA,153,11.4,3.87,3.34
"PYBI_58","2020-2021","PYBI_58_2020-2021",2,1,1,50.8,20.8,80.8,11,5,"3",15,9,9,0.97,0.7,0.7,0.42,0,0,167,7.48,3.86,3.86
"PYBI_59","2018-2019","PYBI_59_2018-2019",0,0,0,0,0,0,2,0,"0",18,0,1,0.93,NA,NA,NA,NA,NA,NA,6.45,0,0
"PYBI_59","2019-2020","PYBI_59_2019-2020",0,0,0,0,0,0,21,13,"7",32,14,9,2.29,0.16,0.1,0.99,NA,NA,149,11.51,3.37,1.31
"PYBI_59","2020-2021","PYBI_59_2020-2021",3,1,2,51.37,19.15,115.8,11,9,"2",12,9,9,0.8,0.47,0.47,0.1,0,0,140,5.46,4.03,4.03
"PYBI_59","2021-2022","PYBI_59_2021-2022",0,0,0,0,0,0,4,2,"",9,8,8,1.04,1.04,1.04,0,0,0,77,2.55,2.29,2.29
"PYBI_64","2019-2020","PYBI_64_2019-2020",2,0,2,23.05,23.05,0,18,17,"",34,14,13,1.33,0.14,0.04,NA,NA,NA,113,5.94,1.99,1.32
"PYBI_64","2020-2021","PYBI_64_2020-2021",0,0,0,0,0,0,18,16,"4",31,10,8,1.42,0.02,0.01,0.17,0,0,163,7.42,0.45,0.35
"PYBI_64","2021-2022","PYBI_64_2021-2022",3,0,3,14.57,14.57,0,18,14,"3",33,11,11,1.68,0.02,0.03,0.26,0,0,162,5.51,0.62,0.65
"PYBI_64","2022-2023","PYBI_64_2022-2023",0,0,0,0,0,0,3,2,"",4,1,1,0,NA,NA,0,NA,NA,149,0.15,0,0
"PYBI_66","2019-2020","PYBI_66_2019-2020",0,0,0,0,0,0,11,11,"4",24,11,13,3.49,0.01,0.03,NA,NA,NA,83,8.68,0.53,0.89
"PYBI_66","2020-2021","PYBI_66_2020-2021",1,1,0,59.9,0,59.9,13,13,"2",25,10,8,2.52,0.05,0.05,0.53,0.45,0.46,168,10.8,2.89,1.93
"PYBI_66","2021-2022","PYBI_66_2021-2022",0,0,0,0,0,0,0,0,"",1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
"PYBI_68","2019-2020","PYBI_68_2019-2020",2,0,2,27.5,27.5,0,10,8,"",32,10,12,1.19,0.12,0.15,NA,NA,NA,89,6.97,1.75,1.89
"PYBI_68","2020-2021","PYBI_68_2020-2021",0,0,0,0,0,0,12,9,"2",26,5,6,2.53,0.36,0.66,0.98,0,0.61,159,12.45,3.13,3.16
"PYBI_68","2021-2022","PYBI_68_2021-2022",1,0,1,25.2,25.2,0,10,7,"5",19,9,8,0.83,0.05,0.04,0.33,0.01,0.03,169,3.47,1,1.1
"PYBI_69","2019-2020","PYBI_69_2019-2020",1,1,0,114.1,0,114.1,7,7,"3",14,7,7,1.07,0.01,0.01,NA,NA,NA,77,4.45,0.65,0.65
"PYBI_69","2020-2021","PYBI_69_2020-2021",2,1,1,70.3,19.8,120.8,15,12,"3",22,10,9,2.78,0.64,0.52,0.57,0,0,150,12.18,3.28,3.41
"PYBI_69","2021-2022","PYBI_69_2021-2022",1,0,1,27.2,27.2,0,13,9,"5",20,10,10,0.75,0.34,0.34,0.27,0,0,154,8.02,3.47,3.3
"PYBI_69","2022-2023","PYBI_69_2022-2023",3,3,0,93.27,0,93.27,14,12,"6",21,13,11,3.27,1.06,1.06,0.73,0,0,179,10.22,4.57,3.66
"PYBI_69","2023-2024","PYBI_69_2023-2024",0,0,0,0,0,0,10,7,"4",17,8,11,1.93,1,0.92,0.58,0.19,0.35,134,8.12,3.19,3.82
"PYBI_69","2024-2025","PYBI_69_2024-2025",3,2,1,109.17,29.7,148.9,14,8,"8",17,11,11,2.23,0.42,0.42,0,0,0,142,10.73,6.14,6.77
"PYBI_70","2019-2020","PYBI_70_2019-2020",1,1,0,102.6,0,102.6,10,10,"3",19,9,11,1.71,0.03,0.19,NA,NA,NA,57,6.59,1.68,3.33
"PYBI_70","2020-2021","PYBI_70_2020-2021",0,0,0,0,0,0,3,1,"",4,0,0,0.02,NA,NA,0,NA,NA,25,1.12,0,0
"PYBI_71","2019-2020","PYBI_71_2019-2020",2,2,0,33.4,0,33.4,11,9,"6",21,10,12,9.56,0.17,0.24,NA,NA,NA,56,10.66,2.94,3.19
"PYBI_71","2020-2021","PYBI_71_2020-2021",4,2,2,68.83,44.85,92.8,9,9,"5",20,8,8,5.03,0.07,0.01,0.14,0,0,169,10.48,1.45,0.75
"PYBI_71","2021-2022","PYBI_71_2021-2022",5,3,2,79.58,19.9,119.37,12,11,"9",24,10,10,2.32,0.43,0.2,0.3,0,0,162,9.02,4.11,3.07
"PYBI_71","2022-2023","PYBI_71_2022-2023",0,0,0,0,0,0,4,4,"2",5,1,0,0.59,NA,NA,0.14,NA,NA,69,3.25,0,0
"PYBI_73","2019-2020","PYBI_73_2019-2020",0,0,0,0,0,0,1,1,"",16,3,3,1.6,0.15,0.15,NA,NA,NA,11,7.1,3.13,3.13
"PYBI_73","2020-2021","PYBI_73_2020-2021",0,0,0,0,0,0,17,15,"4",27,12,12,1.05,0.17,0.06,0.1,0,0,155,7.01,2.54,1.4
"PYBI_73","2021-2022","PYBI_73_2021-2022",0,0,0,0,0,0,17,15,"4",27,10,10,1.03,0.4,0.32,0.5,0.9,0.68,170,9.56,3.53,3.15
"PYBI_73","2022-2023","PYBI_73_2022-2023",0,0,0,0,0,0,7,4,"1",10,5,2,1.03,0,NA,0,0,NA,51,3.36,0.31,0.09
"PYBI_74","2019-2020","PYBI_74_2019-2020",0,0,0,0,0,0,4,3,"",16,3,5,0.86,0,0.08,NA,NA,NA,23,5.46,1.09,1.25
"PYBI_74","2020-2021","PYBI_74_2020-2021",4,2,2,52.75,25.25,80.25,18,10,"4",31,13,12,1.96,0.44,0.55,0.37,0,0,175,13.08,4.26,4.54
"PYBI_74","2021-2022","PYBI_74_2021-2022",1,1,0,80.6,0,80.6,16,10,"3",27,12,8,2.66,0.17,0.06,0.11,0,0,175,11.73,1.89,1.18
"PYBI_74","2022-2023","PYBI_74_2022-2023",1,1,0,130.2,0,130.2,9,7,"4",19,9,6,5.84,1.86,1.02,0.53,0.25,0,151,14.29,5.7,3.23
"PYBI_74","2023-2024","PYBI_74_2023-2024",1,1,0,126.9,0,126.9,8,6,"3",14,8,9,1.37,0.37,0.45,0.03,0,0,116,6.62,2.73,2.97
