"Snake_ID","season","pythons.removed","males","females","avg.total","avg.m","avg.f","ground","peak","search","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","df.inactive.days","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi","min.dist.core.B.mi","sample.size","sample.size.core.A","sample.size.core.B","overlap","tracked_years"
"PYBI_103-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_103","2022-2023",0,0,0,0,0,0,1,0,"",1.38,0.02,0.02,0,14,4.4,0.95,0.95,8,3,3,NA,NA
"PYBI_103","2023-2024",0,0,0,0,0,0,8,7,"6",1.72,0.26,0.21,0,85,7.9,4.4,3.05,12,7,5,NA,NA
"PYBI_103","2024-2025",5,1,4,88.52,31.6,102.75,11,9,"8",0.89,0.12,0.12,0,141,6.13,1.83,2.04,14,9,9,NA,NA
"PYBI_104-T","2022-2023",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,1.85,0,0,2,0,0,NA,NA
"PYBI_104","2022-2023",0,0,0,0,0,0,0,0,"0",0.41,NA,0,0,NA,2.21,0,0,5,0,1,NA,NA
"PYBI_104","2023-2024",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_105-T","2023-2024",0,0,0,0,0,0,0,0,"0",0,NA,0,0,NA,0.03,0,0,2,0,1,NA,NA
"PYBI_105-T","2024-2025",0,0,0,0,0,0,0,0,"0",0.11,NA,NA,0,40,1.03,0,0,3,0,0,NA,NA
"PYBI_105","2023-2024",0,0,0,0,0,0,6,4,"2",0.05,0.02,0.02,0,70,1.03,0.74,0.75,8,5,6,NA,NA
"PYBI_105","2024-2025",0,0,0,0,0,0,7,3,"1",0.16,0,0,0,62,1.56,0.24,0,5,3,1,NA,NA
"PYBI_106-T","2023-2024",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0.92,0,0,2,0,0,NA,NA
"PYBI_106-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
